title,company,location,salary,job_type,posted_date,description,requirements,url,scraped_at
Vil du vise interesse for dette job?,Se virksomhedsprofiler,,løn LØN,,i dag,30.100 job i dag For jobsøgere For arbejdsgivere,,https://www.jobindex.dk/jobsoegning/analyse-kilder,2025-08-15T09:47:54.434463
"Salg og kommunikation1169Salgskonsulent, journalist, kulturformidler",Employer branding,,løn LØN,,i dag,30.100 job i dag For jobsøgere For arbejdsgivere,,https://www.jobindex.dk/job/it,2025-08-15T09:47:54.845405
"Salg og kommunikation1169Salgskonsulent, journalist, kulturformidler",,,,,,Find job via kategori Informationsteknologi 790,,https://www.jobindex.dk/job/it,2025-08-15T09:47:54.857559
"Informationsteknologi790IT-supporter, systemudvikling",,,,,,,,https://www.jobindex.dk/job/it,2025-08-15T09:47:54.861565
"Ingeniør og teknik1245Maskinmester, farmakonom",,,,,,,,https://www.jobindex.dk/job/ingenioer,2025-08-15T09:47:54.861746
"Ledelse og personale1734Projektleder, personaleansvarlig",,,,,,,,https://www.jobindex.dk/job/ledelse,2025-08-15T09:47:54.861827
"Handel og service2634Kok, salgsassistent, rengøring",,,,,,,,https://www.jobindex.dk/job/handel,2025-08-15T09:47:54.861905
"Industri og håndværk2552Elektriker, chauffør, bager",,,,,,,,https://www.jobindex.dk/job/industri,2025-08-15T09:47:54.861982
"Voksenuddannelse124Underviser, uddannelsesvejleder, studievejleder",Employer branding,,løn LØN,,i dag,30.100 job i dag For jobsøgere For arbejdsgivere,,https://www.jobindex.dk/job/undervisning?lang=en,2025-08-15T09:47:57.320046
"Voksenuddannelse124Underviser, uddannelsesvejleder, studievejleder",,,,,,Undervisning 2360 Pædagog,,https://www.jobindex.dk/job/undervisning/paedagog,2025-08-15T09:47:57.331069
